key_resp.keys,key_resp.corr,tilt,hit,miss ,false alarm,correct rejection
up,1,0,1,,,
up,0,-3,,,1,
up,0,3,,,1,
up,1,0,1,,,
up,0,-4,,,1,
up,1,0,1,,,
up,0,-3,,,1,
down,0,0,,1,,
up,0,-3,,,1,
down,1,-5,,,,1
up,1,0,1,,,
up,0,-2,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,0,1,,,1,
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,0,-3,,,1,
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,0,1,,,1,
up,1,0,1,,,
up,0,-2,,,1,
up,0,2,,,1,
up,0,-3,,,1,
up,0,2,,,1,
up,0,3,,,1,
down,1,-2,,,,1
down,1,-2,,,,1
down,0,0,,1,,
down,0,0,,1,,
up,0,-2,,,1,
up,0,2,,,1,
down,0,0,,1,,
up,1,0,1,,,
down,0,0,,1,,
down,0,0,,1,,
up,1,0,1,,,
down,0,0,,1,,
up,1,0,1,,,
down,0,0,,1,,
up,0,2,,,1,
down,1,4,,,,1
up,0,4,,,1,
up,0,-2,,,1,
up,0,1,,,1,
up,0,-3,,,1,
up,1,0,1,,,
up,0,2,,,1,
up,0,-2,,,1,
down,0,0,,1,,
down,1,1,,,,1
down,0,0,,1,,
up,1,0,1,,,
up,1,0,1,,,
up,0,4,,,1,
down,1,1,,,,1
up,1,0,1,,,
up,0,-5,,,1,
up,0,4,,,1,
up,1,0,1,,,
up,0,3,,,1,
up,0,-2,,,1,
up,1,0,1,,,
down,0,0,,1,,
down,1,3,,,,1
up,0,-5,,,1,
up,0,4,,,1,
up,1,0,1,,,
up,1,0,1,,,
down,0,0,,1,,
up,0,1,,,1,
up,1,0,1,,,
down,1,-4,,,,1
up,0,-3,,,1,
down,1,4,,,,1
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,1,-2,,,,1
down,0,0,,1,,
up,1,0,1,,,
up,0,4,,,1,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,0,-2,,,1,
up,0,2,,,1,
up,0,3,,,1,
up,1,0,,1,,
,,,32,21,37,10
